sistema,query,AP antes,AP despues,delta
nltk bm25,1,0.549490,0.598012,0.048522
nltk bm25,2,0.366667,0.416667,0.050000
nltk bm25,3,0.113778,0.134559,0.020781
nltk bm25,4,0.019619,0.044494,0.024875
nltk bm25,5,0.048246,0.078571,0.030326
nltk bm25,6,0.953466,0.979798,0.026332
nltk bm25,7,0.062500,0.035714,-0.026786
nltk bm25,8,1.000000,1.000000,0.000000
nltk bm25,9,0.937500,0.946429,0.008929
nltk bm25,10,0.855556,0.855556,0.000000
nltk tf-idf,1,0.749660,0.801020,0.051361
nltk tf-idf,2,0.700000,0.750000,0.050000
nltk tf-idf,3,0.140088,0.142939,0.002851
nltk tf-idf,4,0.041683,0.045205,0.003522
nltk tf-idf,5,0.035425,0.031677,-0.003748
nltk tf-idf,6,0.911364,0.957576,0.046212
nltk tf-idf,7,0.030467,0.013514,-0.016953
nltk tf-idf,8,1.000000,1.000000,0.000000
nltk tf-idf,9,0.918478,0.927632,0.009153
nltk tf-idf,10,0.848611,0.948413,0.099802
porter bm25,1,0.549490,0.598012,0.048522
porter bm25,2,0.366667,0.416667,0.050000
porter bm25,3,0.113778,0.134559,0.020781
porter bm25,4,0.019691,0.044545,0.024854
porter bm25,5,0.048246,0.090000,0.041754
porter bm25,6,0.939577,0.979798,0.040221
porter bm25,7,0.062500,0.035714,-0.026786
porter bm25,8,1.000000,1.000000,0.000000
porter bm25,9,0.937500,0.946429,0.008929
porter bm25,10,0.855556,0.855556,0.000000
porter tf-idf,1,0.749660,0.801020,0.051361
porter tf-idf,2,0.700000,0.750000,0.050000
porter tf-idf,3,0.140088,0.142939,0.002851
porter tf-idf,4,0.041683,0.045272,0.003589
porter tf-idf,5,0.035425,0.031677,-0.003748
porter tf-idf,6,0.911364,0.957576,0.046212
porter tf-idf,7,0.030467,0.013514,-0.016953
porter tf-idf,8,1.000000,1.000000,0.000000
porter tf-idf,9,0.918478,0.927632,0.009153
porter tf-idf,10,0.848611,0.948413,0.099802
